beer,brewery,style,status
Flying Monkeys Deep Tracks,Flying Monkeys Craft Brewery,Brown Ale,special seasonal
Great Lakes Brewery My Bitter Wife,Great Lakes Brewery (Canada),IPA,special seasonal
Collective Arts Blueberry Sour Cacao Nibs,Collective Arts Brewing,Sour / Wild Beer - Flavored,regular
Sleeman Original Draught,Sleeman Breweries (Sapporo),Pale Lager - American,regular
Nickel Brook Uber,Nickel Brook Brewing Co.,Berliner Weisse,regular
Amsterdam Downtown Brown,Amsterdam Brewery,Brown Ale,regular
Mill Street 100th Meridian,Mill Street Brewery (AB InBev),Amber Lager - International / Vienna,regular
Small Pony Jam Hands,Small Pony Barrel Works,Sour / Wild Beer,regular
Shillow Bitter Waitress,Shillow Beer Co.,IPA - Black / Brown / Cascadian Dark,regular
Cool Beer Millennium Buzz,Cool Beer Brewing Co.,Amber Lager - International / Vienna,regular
Godspeed Yuzu,Godspeed Brewery,Saison / Farmhouse - Flavored,regular
Bellwoods Monogamy (Citra),Bellwoods Brewery,Pale Ale - American (APA),regular
Collective Arts / Civil Society Origin of Darkness,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,regular
Beau's WinterBrewed,Beau's Brewing Co. / Halcyon Barrel House,Flavored - Other,special seasonal
Nickel Brook Cheeky Bastard,Nickel Brook Brewing Co.,Stout,regular
Great Lakes Brewery Meet The Porters,Great Lakes Brewery (Canada),Porter,regular
Railway City Black Coal Stout,Railway City Brewing Co.,Stout,regular
Left Field Sunlight Park Grapefruit,Left Field Brewery,Saison / Farmhouse - Flavored,summer seasonal
Flying Monkeys Belle Epoque,Flying Monkeys Craft Brewery,IIPA DIPA - Imperial / Double IPA,special seasonal
Sawdust City Juicin’ New England Style IPA,Sawdust City Brewing Co.,IPA - Hazy (NEIPA),regular
Mill Street Lemon Tea Beer,Mill Street Brewery (AB InBev),Flavored - Other,special seasonal
Wellington Upside IPA,Wellington Brewery (Canada),IPA,regular
Bellwoods Barn Owl (Blend No. 16),Bellwoods Brewery,Sour / Wild Beer,series seasonal
Wellington County Brown Ale,Wellington Brewery (Canada),Brown Ale,regular
Flying Monkeys Mythology,Flying Monkeys Craft Brewery,Pilsener - Bohemian / Czech,special seasonal
Nickel Brook Equilibrium,Nickel Brook Brewing Co.,Bitter - Premium / Strong / Extra Special (ESB),regular
The Collingwood Downhill Pale Ale,The Collingwood Brewery (Canada),Pale Ale - American (APA),regular
Forked River Weendigo,Forked River Brewing Company,Stout - Imperial,regular
Godspeed Světlý Ležák 12°,Godspeed Brewery,Pilsener - Bohemian / Czech,regular
Collective Arts IPA No.  3,Collective Arts Brewing,IPA,special seasonal
Collective Arts Black IPA,Collective Arts Brewing,IPA - Black / Brown / Cascadian Dark,special seasonal
Double Trouble Prison Break Breakout Pilsner,Double Trouble Brewing Co. (United Craft),Pilsener / Pils / Pilsner,regular
Nickel Brook Cause & Effect,Nickel Brook Brewing Co.,Blonde Ale / Golden Ale,regular
Sawdust City + Bar Hop Coriolis Effect,Sawdust City Brewing Co.,Berliner Weisse,regular
Collective Arts Audio/Visual Lager ,Collective Arts Brewing,Pale Lager - International / Premium,regular
Collective Arts Sour Dry Hop Ale Peach Passion Fruit & Raspberry,Collective Arts Brewing,Sour / Wild Beer - Flavored,regular
Flying Monkeys City and Colour,Flying Monkeys Craft Brewery,Strong Ale - American,regular
Beau's Helles,Beau's Brewing Co. / Halcyon Barrel House,Helles / Dortmunder Export,regular
Stone City Uncharted India Pale Ale,Stone City Brew Co.,IPA,regular
Beau's St. Luke's Verse,Beau's Brewing Co. / Halcyon Barrel House,Gruit,regular
Amsterdam Oranje Wit / Weisse,Amsterdam Brewery,Witbier / Belgian White Ale,summer seasonal
Junction Conductor's Craft Ale,Junction Craft Brewing,Pale Ale - American (APA),regular
Cameron's Cosmic,Cameron's Brewing,Cream Ale,regular
