beer,brewery,style,status
Dunham / Naparbier Hemen Eta Han,Brasserie Dunham,Saison / Farmhouse - Flavored,special seasonal
Vox Populi Kettle Sour,Microbrasserie Vox Populi (Groupe Glutenberg),Berliner Weisse,regular
St-Ambroise Framboise / Raspberry Ale,Brasserie McAuslan (Brasseurs RJ),Flavored - Fruit,summer seasonal
Dieu du Ciel! Hérétique Obscura,Brasserie Dieu du Ciel!,Sour / Wild Beer - Dark,regular
La Memphré Double Menton,Microbrasserie La Memphré,IIPA DIPA - Imperial / Double IPA,regular
Le Trou du Diable Volo 25th Anniversary,Le Trou du Diable (Six Pints - Molson Coors),Sour / Wild Beer,special seasonal
Pit Caribou Lollipop,Microbrasserie Pit Caribou,Berliner Weisse - Flavored / Catharina Sour,regular
Auval Framboëse,Brasserie Auval Brewing Co.,Sour / Wild Beer - Flavored,summer seasonal
St-Ambroise Baltic Porter,Brasserie McAuslan (Brasseurs RJ),Porter - Baltic,regular
Charlevoix 8e Jour,Microbrasserie Charlevoix,Tripel,regular
Dunham Porter Coco Chipotle (Bourbon ++),Brasserie Dunham,Porter - Flavored,special seasonal
Hopfenstark Kamarad Friedrich,Hopfenstark [Ho.st],Stout - Imperial,special seasonal
Hopfenstark 7 Sisters: Alcyone,Hopfenstark [Ho.st],IPA - Black / Brown / Cascadian Dark,regular
La Voie Maltée La Polissonne,La Voie Maltée - Microbrasserie du Saguenay,Barley Wine / Wheat Wine / Rye Wine,regular
Jukebox New Wave,Bières Jukebox (Avant-Garde),IPA - Milkshake / Smoothie,regular
